framenr,mean,std,threshold,score,distance
2167,0.01275452316748683,0.006301901496465578,0.01905642466395241,5.111111111111111,4.949747468305833
2168,0.01308744999093995,0.00555631326437966,0.01864376325531961,2.6666666666666665,3.5
2169,0.014426384458209344,0.00874618860377974,0.023172573061989082,5.222222222222222,3.5
2170,0.01320579681897077,0.00635905188539657,0.01956484870436734,5.333333333333333,4.949747468305833
2171,0.011693268625543596,0.003356823981901511,0.015050092607445107,-3.3,3.5
2172,0.011780370967088193,0.002851229570374482,0.015486969408575019,3.3,3.5
2173,0.011657415884641788,0.0036203324040897165,0.015639781529140476,2.7777777777777777,3.5
2174,0.011717636121204314,0.004165835605354831,0.015883471726559146,12.571428571428571,3.5
2175,0.01219241298781185,0.0038251906570124262,0.016017603644824276,3.8823529411764706,3.5
2176,0.012810705127746617,0.005277500608196461,0.01808820573594308,4.0,3.5
2177,0.012345982973077357,0.004509830874439907,0.016855813847517262,8.333333333333334,3.5
2178,0.012760904687142359,0.004678399888751662,0.017439304575894023,4.2,3.5
2179,0.012943964520389858,0.005231923156328451,0.018175887676718308,0.8333333333333334,3.5
2180,0.012748715351291288,0.005423793736145236,0.018172509087436523,9.416666666666666,3.5
2181,0.011407508422264814,0.0025204993513682885,0.015188257449317247,2.0476190476190474,3.5
2182,0.011333604985646978,0.002709611877418155,0.015127061614032395,7.866666666666666,4.949747468305833
2183,0.012541358803978782,0.005085488936147974,0.017626847740126756,7.5,3.5
2184,0.01326656468156328,0.006532437782309292,0.019799002463872572,14.125,4.949747468305833
2185,0.013908527677243066,0.007621652100041195,0.02153017977728426,7.0,4.949747468305833
2186,0.01331567965829327,0.006163894117343608,0.019479573775636878,4.166666666666667,3.5
2187,0.012280707440442122,0.004611375138319705,0.016892082578761826,8.8,4.949747468305833
2188,0.013318887182183175,0.006350924180331881,0.019669811362515055,5.75,4.949747468305833
2189,0.01388002877160104,0.006926849333076017,0.02080687810467706,4.25,7.0
2190,0.013904608612048897,0.008583236649489625,0.02248784526153852,14.0,4.949747468305833
2191,0.013205319974536498,0.006696203545232512,0.01990152351976901,10.666666666666666,7.0
2192,0.012807404470178141,0.005136965339200675,0.017944369809378816,10.2,3.5
2193,0.012624504826857778,0.004787477223628489,0.017411982050486267,3.5,3.5
2194,0.014235721191443493,0.0069127581677233246,0.02114847935916682,2.8666666666666667,3.5
2195,0.012780302569714647,0.0052259541816854,0.018006256751400048,0.375,4.949747468305833
2196,0.012848554654716935,0.005677533637342808,0.018526088292059744,5.2,3.5
2197,0.013731275660191111,0.007114936952126023,0.020846212612317134,3.375,4.949747468305833
2198,0.013498914582856479,0.0064814927744127945,0.019980407357269275,12.333333333333334,4.949747468305833
2199,0.012858169775692367,0.005453214595308987,0.018311384371001355,10.571428571428571,7.0
2200,0.0126409336077573,0.004973199991822589,0.01761413359957989,0.7692307692307693,3.5
2201,0.012392914896381696,0.00461609059842031,0.017009005494802006,12.75,4.949747468305833
2202,0.011677260808871208,0.004406626388688755,0.016083887197559963,-5.0,3.5
2203,0.011755578781853201,0.004826107447921073,0.016581686229774274,3.75,4.949747468305833
2204,0.011901906692273206,0.0038897379139319573,0.015791644606205163,1.5384615384615385,3.5
2205,0.01170925781548027,0.003512050234226387,0.015221308049706658,3.1333333333333333,3.5
2206,0.011952567688067435,0.003436427762781206,0.015388995450848642,0.5,3.5
2207,0.012133839354686421,0.003812305040812289,0.01594614439549871,-0.7368421052631579,3.5
2208,0.012927062620403213,0.00623775000438078,0.01916481262478399,9.88888888888889,3.5
2209,0.012673522944562058,0.006355901500566304,0.01902942444512836,8.666666666666666,3.5
2210,0.011735562491655215,0.004380120071725786,0.016115682563381,11.25,4.949747468305833
2211,0.01167175102044708,0.003553245762907927,0.015224996783355007,1.3636363636363635,3.5
2212,0.012164677778334087,0.0044335900111472214,0.016598267789481307,2.6666666666666665,3.5
2213,0.01141533910195887,0.0020998383765840913,0.01624496736810228,0.3076923076923077,3.5
2214,0.011676549267566942,0.0029618277527656348,0.015230742570885704,-4.611111111111111,3.5
2215,0.012452632211079949,0.004431957818199694,0.016884590029279643,5.461538461538462,3.5
2216,0.012936945966372921,0.005095257216683517,0.018032203183056438,9.5,3.5
2217,0.0127833573543717,0.006437312963766536,0.019220670318138237,2.7142857142857144,3.5
2218,0.012426554781080713,0.006340200443242206,0.018766755224322917,16.333333333333332,7.0
2219,0.01239629378624017,0.005480029184914358,0.01787632297115453,5.1,3.5
2220,0.012931585191834506,0.005954547971751979,0.018886133163586484,7.714285714285714,7.0
2221,0.012645307165302884,0.005899819293389024,0.018545126458691906,7.222222222222222,3.5
2222,0.011523474753471421,0.00318876590408122,0.01566887042877701,11.88888888888889,4.949747468305833
2223,0.012604007966878378,0.004997596106764029,0.017601604073642408,14.142857142857142,4.949747468305833
2224,0.012934163132057287,0.006847994596219835,0.01978215772827712,8.8,4.949747468305833
2225,0.012617378237773702,0.005151560921461415,0.017768939159235116,8.0,4.949747468305833
2226,0.012492187947041652,0.00482784440318312,0.017320032350224772,9.666666666666666,3.5
2227,0.012569284006160824,0.005545411694399094,0.018114695700559916,8.333333333333334,4.949747468305833
2228,0.012417531990300977,0.0047341607809076505,0.017151692771208628,3.0714285714285716,3.5
2229,0.012824418130579072,0.0050345000220043705,0.017858918152583444,0.45454545454545453,3.5
2230,0.01314235415712977,0.006605069156039263,0.019747423313169032,10.0,7.0
2231,0.012653037260624084,0.005045013733516796,0.01769805099414088,6.181818181818182,4.949747468305833
2232,0.012494203359845874,0.004015854842757867,0.01651005820260374,6.428571428571429,3.5
2233,0.012022775580319667,0.003188830683687215,0.015211606264006881,5.575757575757576,3.5
2234,0.012246255430065987,0.0040871183580533516,0.01633337378811934,3.9375,3.5
2235,0.011486727929255352,0.002422628029115305,0.0158474583816629,9.6875,3.5
2236,0.012307455432927054,0.004432985160372296,0.01674044059329935,12.4,3.5
2237,0.012467172240978095,0.004827230241211024,0.01729440248218912,5.25,3.5
2238,0.012772054651140603,0.004998283474149239,0.01777033812528984,5.7,4.949747468305833
2239,0.012918445892462039,0.005297501715382086,0.018215947607844125,7.333333333333333,4.949747468305833
2240,0.012821858817092005,0.005063337721671586,0.017885196538763592,7.818181818181818,3.5
2241,0.013031823107404434,0.00517071294234345,0.018202536049747885,3.1666666666666665,4.949747468305833
